drug_id,prot_id,affinity
CHEMBL1682540,P48729,11.400000202
CHEMBL1983945,Q9Y4K4,11.200000128
CHEMBL1988163,O60674,13.99997427
CHEMBL1980562,O00311,15.700326279
CHEMBL2001224,P68400,11.300000237
CHEMBL1990884,P42679,11.800000504
CHEMBL1981079,P28482,12.899998135
CHEMBL312648,Q05655,10.702059991
CHEMBL1969588,O14965,11.900000875
CHEMBL2031893,P27361,10.702059991
CHEMBL1682540,Q15303,11.500000186
CHEMBL1989518,Q06418,11.800000504
CHEMBL1968590,P15735,11.400000202
CHEMBL1969502,Q13464,12.399997603
CHEMBL1978166,Q04771,11.599999679
CHEMBL373598,Q13627,11.200000119
CHEMBL1972362,P22607,11.900000875
CHEMBL1981215,O60674,11.699999383
CHEMBL1624529,P49841,13.600038134
CHEMBL1997119,P04629,10.400000029
CHEMBL1990904,P08922,11.800000504
CHEMBL1984296,P53667,12.599996932
CHEMBL2002407,P49137,11.200000128
CHEMBL1972576,O94806,11.1
CHEMBL2003271,Q06187,11.999998417
CHEMBL1978200,Q9HBH9,11.1
CHEMBL340384,O96013,11.400000202
CHEMBL1982506,Q14012,11.300000237
CHEMBL1986263,P43405,13.200015437
CHEMBL599224,P28482,12.773664139
CHEMBL411351,Q15139,10.923908741
CHEMBL1985367,P17948,11.500000186
CHEMBL1996780,Q13188,11.200000128
CHEMBL1984296,P49841,11.900000875
CHEMBL1242112,P00533,12.141914151
CHEMBL1682546,Q13627,11.900000875
CHEMBL1987009,P45983,12.699997654
CHEMBL50894,P09619,11.800000504
CHEMBL1682552,Q14289,11.900000875
CHEMBL1998121,Q00535,11.699999383
CHEMBL1991800,P49137,11.200000128
CHEMBL1970074,P00533,11.800000504
CHEMBL1997335,P11362,11.500000186
CHEMBL1991818,O14757,11.800000504
CHEMBL226471,P08581,11.999998417
CHEMBL273187,P36888,16.1
CHEMBL202635,Q9BZL6,11.200000128
CHEMBL514499,Q5VT25,11.1
CHEMBL271381,O14965,13.000008766
CHEMBL2007002,P29317,11.599999679
CHEMBL1966425,Q12851,11.800000504
CHEMBL526133,O15075,11.1
CHEMBL223257,P27448,11.500000186
CHEMBL2004118,P52333,11.599999679
CHEMBL1992323,P08922,11.800000504
CHEMBL1988692,P16234,12.299998172
CHEMBL340921,P35916,11.300000237
CHEMBL1978567,P45983,11.400000202
CHEMBL1973893,Q16288,11.999998417
CHEMBL266969,Q04759,10.1
CHEMBL1996510,P05771,15.32184875
CHEMBL1987054,O14757,11.200000128
CHEMBL1965131,O94806,12.1
CHEMBL1973937,P07949,13.1
CHEMBL1966425,P07948,11.900000875
CHEMBL178737,Q9BZL6,11.1
CHEMBL336961,P04629,11.699999383
CHEMBL1983268,Q7L7X3,11.599999679
CHEMBL1986328,O00444,11.800000504
CHEMBL1985723,Q12851,12.599996932
CHEMBL1985074,Q06418,11.800000504
CHEMBL443962,Q13131,11.300000237
CHEMBL2001019,P51812,11.500000186
CHEMBL1989805,P51617,11.200000128
CHEMBL1991285,P45983,11.599999679
CHEMBL458997,Q9UHD2,11.999998417
CHEMBL1969506,O15075,11.1
CHEMBL1996923,P53350,11.200000128
CHEMBL1969537,P23443,12.499996913
CHEMBL2004692,P31751,11.200000128
CHEMBL1996345,Q16539,11.500000186
CHEMBL1270230,Q96GD4,11.1
CHEMBL2003689,P11309,11.300000237
CHEMBL1998193,P53350,11.200000128
CHEMBL154620,Q15139,9.941637508
CHEMBL1981720,P11362,11.400000202
CHEMBL347466,P17252,9.887812396
CHEMBL1242751,P08631,12.234896025
CHEMBL535331,Q16513,11.200000128
CHEMBL1980163,Q9Y243,11.1
CHEMBL1972489,P48729,11.300000237
CHEMBL135492,Q05655,10.798970004
CHEMBL7064,Q13627,13.000008766
CHEMBL461876,Q13464,11.800000504
CHEMBL1988300,Q16288,12.799991797
CHEMBL1983195,P48729,11.300000237
CHEMBL2000879,Q5S007,10.200000019
CHEMBL2004355,P28482,12.299998172
CHEMBL1983963,P53350,11.200000128
CHEMBL1969502,P17948,13.500007822
CHEMBL2003524,O96013,11.400000202
CHEMBL2005112,Q14012,11.300000237
CHEMBL242865,Q13464,11.599999679
CHEMBL1970709,Q8TDC3,11.1
CHEMBL2001613,P50613,10.800000069
CHEMBL2001257,P42685,13.600038134
CHEMBL1987009,Q16288,11.999998417
CHEMBL1974617,Q06418,10.300000031
CHEMBL1976040,P45984,11.500000186
CHEMBL1969879,Q13627,11.300000237
CHEMBL1968926,P29317,11.599999679
CHEMBL2004892,Q14289,11.900000875
CHEMBL1998435,P51812,11.200000128
CHEMBL462120,Q7KZI7,11.200000128
CHEMBL380454,P45983,11.1
CHEMBL2001257,Q96SB4,11.500000186
CHEMBL1971021,P12931,11.800000504
CHEMBL2007603,Q13131,11.599999679
CHEMBL1964444,Q16288,11.999998417
CHEMBL2004871,Q8N4C8,11.200000128
CHEMBL1972276,Q16644,11.1
CHEMBL565061,P07948,11.1
CHEMBL1774056,P06213,11.1
